meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time
1257,10009,6,12,2025-04-12T13:27:37.682000+00:00,69.78,43.342,24.568,235.0,253.0,True,137.69,"[None, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",202.0,2:17.690
1257,10009,6,13,2025-04-12T13:29:31.162000+00:00,31.505,42.534,24.018,233.0,254.0,False,98.057,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0,1:38.057
1257,10009,6,14,2025-04-12T13:31:08.495000+00:00,40.97,66.887,41.729,135.0,126.0,False,149.586,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",285.0,2:29.586
1257,10009,6,15,2025-04-12T13:33:38.167000+00:00,61.79,45.859,26.782,216.0,255.0,False,134.431,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",262.0,2:14.431
1257,10009,7,1,2025-04-12T12:41:09.461000+00:00,,49.557,26.965,183.0,232.0,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",115.0,N/A
1257,10009,7,2,2025-04-12T12:43:10.733000+00:00,30.399,41.279,23.896,233.0,266.0,False,95.574,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",315.0,1:35.574
1257,10009,7,3,2025-04-12T12:44:46.212000+00:00,47.318,65.525,39.159,135.0,132.0,False,152.002,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",205.0,2:32.002
1257,10009,7,4,2025-04-12T12:47:45.777000+00:00,72.183,63.149,27.954,164.0,212.0,True,163.286,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",107.0,2:43.286
1257,10009,7,5,2025-04-12T12:50:01.567000+00:00,30.352,41.332,23.763,237.0,267.0,False,95.447,"[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2051, 2051, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2048]",316.0,1:35.447
1257,10009,7,6,2025-04-12T12:51:37.005000+00:00,45.309,65.608,39.163,135.0,131.0,False,150.08,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",229.0,2:30.080
1257,10009,7,7,2025-04-12T12:54:35.048000+00:00,78.946,65.323,25.334,137.0,224.0,True,169.603,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",101.0,2:49.603
1257,10009,7,8,2025-04-12T12:56:56.824000+00:00,30.167,40.977,23.662,237.0,269.0,False,94.806,"[2049, 2049, 2051, 2051, 2049, 2048, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 0]",319.0,1:34.806
1257,10009,7,9,2025-04-12T12:58:31.477000+00:00,43.303,51.246,29.576,130.0,245.0,False,124.125,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",244.0,2:04.125
1257,10009,7,10,2025-04-12T13:15:51.601000+00:00,,50.173,28.406,173.0,221.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",82.0,N/A
1257,10009,7,11,2025-04-12T13:18:09.906000+00:00,29.501,45.3,39.326,241.0,137.0,False,114.127,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",320.0,1:54.127
1257,10009,7,12,2025-04-12T13:20:04.130000+00:00,50.713,69.004,40.162,136.0,153.0,False,159.879,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",134.0,2:39.879
1257,10009,7,13,2025-04-12T13:23:01.125000+00:00,59.475,51.75,27.102,167.0,221.0,True,138.327,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 0]",123.0,2:18.327
1257,10009,7,14,2025-04-12T13:25:02.438000+00:00,29.815,40.342,23.19,239.0,272.0,False,93.347,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",317.0,1:33.347
